Ascending Sorted Transactions by Date - January 2024
----------------------------------------
2024-01-01 | Expense | Rent & Utilities | $689.20 | Monthly rent payment for apartment
2024-11-21 | Expense | Dining Out | $78.80 | Coffee at local cafe
2024-11-01 | Expense | Dining Out | $52.69 | Desserts at pastry shop
2024-11-01 | Expense | Dining Out | $64.11 | Street food snacks
2024-11-01 | Expense | Dining Out | $83.75 | Sushi dinner at Japanese restaurant
2024-11-21 | Expense | Dining Out | $147.00 | Sushi dinner at Japanese restaurant
2024-11-19 | Expense | Entertainment | $337.64 | Monthly Netflix subscription
2024-11-30 | Expense | Entertainment | $375.05 | Bookstore purchase of novels
2024-11-18 | Expense | Entertainment | $66.17 | Art museum entry ticket
2024-11-24 | Expense | Entertainment | $56.26 | Amusement park entry fee
2024-11-25 | Expense | Entertainment | $122.71 | Video game download
2024-11-25 | Expense | Entertainment | $308.29 | Dance class fee
2024-11-02 | Expense | Entertainment | $62.90 | Karaoke night with friends
2024-11-04 | Expense | Entertainment | $175.96 | Dance class fee
2024-11-07 | Expense | Entertainment | $282.46 | Karaoke night with friends
2024-11-03 | Expense | Entertainment | $237.12 | Dance class fee
2024-11-09 | Income | Freelance | $1262.50 | Translation services fee
2024-11-10 | Income | Freelance | $992.79 | Translation services fee
2024-11-18 | Income | Freelance | $1117.78 | Photography gig payment
2024-11-01 | Income | Freelance | $1381.09 | Website design payment completed
2024-11-18 | Expense | Groceries | $198.65 | Baby food and supplies
2024-11-17 | Expense | Groceries | $105.09 | Bulk purchase of rice and pasta
2024-11-06 | Expense | Groceries | $234.07 | Bought vegetables and fruits
2024-11-15 | Expense | Groceries | $176.25 | Spices and condiments
2024-11-24 | Expense | Groceries | $259.91 | Meat and fish from butcher shop
2024-11-13 | Expense | Groceries | $211.61 | Dairy products and eggs
2024-11-03 | Expense | Groceries | $285.70 | Purchased cleaning supplies
2024-11-25 | Income | Investments | $947.85 | Mutual fund return payout
2024-11-02 | Expense | Rent & Utilities | $433.41 | Monthly rent payment for apartment
2024-11-18 | Expense | Rent & Utilities | $613.03 | Water bill settlement
2024-11-20 | Expense | Rent & Utilities | $910.74 | Sewage services charge
2024-11-18 | Expense | Rent & Utilities | $1575.60 | Property maintenance fee
2024-11-21 | Expense | Rent & Utilities | $1193.90 | Sewage services charge
2024-11-05 | Expense | Rent & Utilities | $568.68 | Electricity bill for January
2024-11-10 | Expense | Rent & Utilities | $487.79 | Property maintenance fee
2024-11-18 | Expense | Rent & Utilities | $1063.95 | Natural gas bill payment
2024-11-22 | Expense | Rent & Utilities | $686.63 | Internet subscription fee
2024-11-06 | Expense | Rent & Utilities | $1157.98 | Landline phone bill
2024-11-17 | Expense | Rent & Utilities | $1203.82 | Internet subscription fee
2024-11-06 | Expense | Rent & Utilities | $1886.98 | Trash collection service
2024-11-30 | Expense | Rent & Utilities | $1874.07 | Water bill settlement
2024-11-24 | Expense | Rent & Utilities | $908.88 | Water bill settlement
2024-11-11 | Expense | Rent & Utilities | $491.30 | Mobile phone postpaid bill
2024-11-27 | Expense | Rent & Utilities | $1257.35 | Internet subscription fee
2024-11-07 | Expense | Rent & Utilities | $633.37 | TV cable subscription
2024-11-11 | Expense | Rent & Utilities | $1216.23 | Mobile phone postpaid bill
2024-11-27 | Expense | Rent & Utilities | $1700.19 | Natural gas bill payment
2024-11-17 | Income | Salary | $2919.55 | Commission on sales received
2024-11-15 | Income | Salary | $1655.98 | End of year bonus received
2024-11-09 | Expense | Transport | $78.80 | Taxi ride to office
2024-11-01 | Expense | Transport | $184.61 | Cab fare after night out
2024-11-04 | Expense | Transport | $82.13 | Parking fee at mall
2024-11-30 | Expense | Transport | $411.31 | Bus ticket for daily commute
2024-11-06 | Expense | Transport | $352.82 | Train ticket to nearby city
2024-11-29 | Expense | Transport | $497.91 | Bike rental fee
2024-11-29 | Expense | Transport | $369.00 | Oil change at auto center
2024-11-29 | Expense | Transport | $408.37 | Fuel refill at gas station
2024-11-28 | Expense | Transport | $181.49 | Bike rental fee
2024-11-07 | Expense | Transport | $318.28 | Monthly metro pass
2024-11-08 | Expense | Transport | $382.50 | Cab fare after night out
2024-11-26 | Expense | Transport | $202.78 | Cab fare after night out
2024-11-26 | Expense | Transport | $36.77 | Cab fare after night out
2024-11-26 | Expense | Transport | $55.03 | Tire replacement
2024-11-21 | Expense | Transport | $162.82 | Taxi ride to office
2024-11-11 | Expense | Transport | $418.20 | Cab fare after night out
2024-11-11 | Expense | Transport | $415.47 | Motorbike fuel refill
2024-11-24 | Expense | Transport | $486.85 | Bus ticket for daily commute
2024-11-24 | Expense | Transport | $144.13 | Bus ticket for daily commute
2024-11-11 | Expense | Transport | $258.66 | Uber ride to airport
2024-11-14 | Expense | Transport | $80.41 | Oil change at auto center
2024-11-14 | Expense | Transport | $182.09 | Toll charges for highway
2024-11-23 | Expense | Transport | $251.60 | Parking fee at mall
2024-11-15 | Expense | Transport | $82.21 | Oil change at auto center
2024-11-18 | Expense | Transport | $105.51 | Parking fee at mall
2024-11-19 | Expense | Transport | $308.89 | Fuel refill at gas station
2024-11-20 | Expense | Transport | $446.81 | Taxi ride to office

Transactions Found by the Keyword: Coffee
----------------------------------------
2024-01-25 | Expense | Dining Out | $57.64 | Coffee at local cafe
2024-04-10 | Expense | Dining Out | $38.02 | Coffee at local cafe
2024-05-25 | Expense | Dining Out | $146.91 | Coffee at local cafe
2024-06-28 | Expense | Dining Out | $124.13 | Coffee at local cafe
2024-07-04 | Expense | Dining Out | $147.56 | Coffee at local cafe
2024-08-26 | Expense | Dining Out | $33.35 | Coffee at local cafe
2024-09-06 | Expense | Dining Out | $37.21 | Coffee at local cafe
2024-09-07 | Expense | Dining Out | $131.42 | Coffee at local cafe
2024-09-10 | Expense | Dining Out | $20.43 | Coffee at local cafe
2024-10-08 | Expense | Dining Out | $58.03 | Coffee at local cafe
2024-11-21 | Expense | Dining Out | $78.80 | Coffee at local cafe
2024-12-06 | Expense | Dining Out | $107.46 | Coffee at local cafe
2024-12-10 | Expense | Dining Out | $50.43 | Coffee at local cafe
2024-12-14 | Expense | Dining Out | $106.59 | Coffee at local cafe
2024-12-30 | Expense | Dining Out | $130.77 | Coffee at local cafe

Transactions Found by the Keyword: Rent
----------------------------------------
2024-01-01 | Expense | Rent & Utilities | $689.20 | Monthly rent payment for apartment
2024-01-04 | Expense | Entertainment | $214.38 | Movie rental on streaming platform
2024-01-06 | Expense | Rent & Utilities | $1027.07 | Monthly rent payment for apartment
2024-01-14 | Expense | Rent & Utilities | $1676.03 | Monthly rent payment for apartment
2024-01-24 | Expense | Transport | $383.89 | Bike rental fee
2024-01-24 | Expense | Rent & Utilities | $1398.51 | Monthly rent payment for apartment
2024-01-31 | Expense | Entertainment | $167.25 | Movie rental on streaming platform
2024-02-04 | Expense | Transport | $346.87 | Bike rental fee
2024-02-18 | Expense | Transport | $363.58 | Bike rental fee
2024-02-25 | Expense | Entertainment | $229.72 | Movie rental on streaming platform
2024-02-25 | Expense | Transport | $34.51 | Bike rental fee
2024-03-01 | Expense | Rent & Utilities | $1301.05 | Monthly rent payment for apartment
2024-03-03 | Expense | Entertainment | $299.40 | Movie rental on streaming platform
2024-03-12 | Expense | Rent & Utilities | $371.91 | Monthly rent payment for apartment
2024-03-13 | Expense | Transport | $304.97 | Bike rental fee
2024-03-15 | Income | Business Profits | $239.10 | Rental income from property
2024-03-17 | Expense | Transport | $223.65 | Bike rental fee
2024-03-18 | Expense | Transport | $419.18 | Bike rental fee
2024-03-20 | Expense | Transport | $296.46 | Bike rental fee
2024-03-22 | Expense | Transport | $337.69 | Bike rental fee
2024-03-22 | Income | Gifts & Donations | $989.42 | Anniversary gift from parents
2024-03-30 | Expense | Rent & Utilities | $498.35 | Monthly rent payment for apartment
2024-04-23 | Expense | Entertainment | $447.30 | Movie rental on streaming platform
2024-05-08 | Income | Gifts & Donations | $546.47 | Anniversary gift from parents
2024-05-14 | Expense | Rent & Utilities | $993.68 | Monthly rent payment for apartment
2024-05-15 | Expense | Entertainment | $272.99 | Movie rental on streaming platform
2024-05-20 | Expense | Rent & Utilities | $1495.59 | Monthly rent payment for apartment
2024-05-21 | Expense | Transport | $372.26 | Bike rental fee
2024-05-27 | Expense | Entertainment | $469.26 | Movie rental on streaming platform
2024-06-01 | Expense | Rent & Utilities | $1050.19 | Monthly rent payment for apartment
2024-06-04 | Income | Gifts & Donations | $587.66 | Anniversary gift from parents
2024-06-10 | Expense | Transport | $155.01 | Bike rental fee
2024-06-19 | Expense | Transport | $150.95 | Bike rental fee
2024-06-20 | Expense | Rent & Utilities | $802.42 | Monthly rent payment for apartment
2024-06-28 | Expense | Transport | $341.69 | Bike rental fee
2024-07-07 | Expense | Transport | $101.07 | Bike rental fee
2024-07-08 | Expense | Rent & Utilities | $1478.88 | Monthly rent payment for apartment
2024-07-11 | Expense | Rent & Utilities | $1120.65 | Monthly rent payment for apartment
2024-07-15 | Expense | Transport | $274.92 | Bike rental fee
2024-07-28 | Income | Business Profits | $145.34 | Rental income from property
2024-08-09 | Expense | Transport | $157.67 | Bike rental fee
2024-08-17 | Expense | Rent & Utilities | $1604.87 | Monthly rent payment for apartment
2024-08-26 | Income | Business Profits | $665.74 | Rental income from property
2024-09-09 | Expense | Rent & Utilities | $1536.62 | Monthly rent payment for apartment
2024-09-14 | Expense | Rent & Utilities | $1036.14 | Monthly rent payment for apartment
2024-10-02 | Expense | Rent & Utilities | $1917.79 | Monthly rent payment for apartment
2024-10-12 | Expense | Rent & Utilities | $738.12 | Monthly rent payment for apartment
2024-10-18 | Expense | Transport | $474.30 | Bike rental fee
2024-10-27 | Expense | Entertainment | $20.19 | Movie rental on streaming platform
2024-11-01 | Income | Business Profits | $415.82 | Rental income from property
2024-11-02 | Expense | Rent & Utilities | $433.41 | Monthly rent payment for apartment
2024-11-28 | Expense | Transport | $181.49 | Bike rental fee
2024-11-29 | Expense | Transport | $497.91 | Bike rental fee
2024-12-04 | Expense | Entertainment | $284.22 | Movie rental on streaming platform
2024-12-11 | Expense | Rent & Utilities | $1347.19 | Monthly rent payment for apartment
2024-12-15 | Expense | Entertainment | $375.15 | Movie rental on streaming platform
2024-12-15 | Expense | Transport | $327.54 | Bike rental fee
2024-12-17 | Expense | Transport | $395.70 | Bike rental fee

Transactions Found by the Keyword: Freelance
----------------------------------------
2024-04-20 | Income | Freelance | $2456.06 | Freelance project payment from client
2024-05-20 | Income | Freelance | $2001.82 | Freelance project payment from client
2024-05-24 | Income | Freelance | $1844.27 | Video editing freelance earnings
2024-05-30 | Income | Freelance | $2142.73 | Freelance project payment from client
2024-09-12 | Income | Freelance | $2043.85 | Freelance project payment from client
2024-12-07 | Income | Freelance | $354.86 | Video editing freelance earnings
2024-12-20 | Income | Freelance | $1595.50 | Video editing freelance earnings

Transactions Found by the Keyword: Pizza
----------------------------------------
2024-01-03 | Expense | Dining Out | $132.69 | Pizza night with family
2024-04-14 | Expense | Dining Out | $20.33 | Pizza night with family
2024-04-26 | Expense | Dining Out | $54.74 | Pizza night with family
2024-05-21 | Expense | Dining Out | $78.68 | Pizza night with family
2024-06-10 | Expense | Dining Out | $38.12 | Pizza night with family
2024-07-31 | Expense | Dining Out | $95.92 | Pizza night with family
2024-08-24 | Expense | Dining Out | $103.78 | Pizza night with family
2024-11-19 | Expense | Dining Out | $137.36 | Pizza night with family
2024-12-05 | Expense | Dining Out | $85.18 | Pizza night with family
2024-12-26 | Expense | Dining Out | $114.91 | Pizza night with family

